conta|data_criacao_conta|data_extincao_conta|conta_superior|nome_conta|descricao_funcao_conta
70000009|1988-06-01|NULL||CONTAS DE RESULTADO CREDORAS|
71000008|1988-06-01|NULL|70000009|RECEITAS OPERACIONAIS|
71100001|1988-06-01|NULL|71000008|RENDAS DE OPERACOES DE CREDITO|
71103008|1988-06-01|NULL|71100001|RENDAS DE ADIANTAMENTOS A DEPOSITANTES|Registrar as rendas de adiantamentos a depositantes, que constituam receita efetiva da instituição, no período.
71105006|1988-06-01|NULL|71100001|RENDAS DE EMPRESTIMOS|Registrar as rendas de empréstimos, que constituam receita efetiva da instituição, no período.
71110008|1988-06-01|NULL|71100001|RENDAS DE TITULOS DESCONTADOS|Registrar as rendas de títulos descontados, que constituam receita efetiva da instituição, no período.
71115003|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS|Registrar as rendas de financiamentos, que constituam receita efetiva da instituição, no período. A instituição deve adotar desdobramentos de uso interno para identificar as rendas sobre cada um dos fundos, programas ou linhas de crédito.
71118000|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS A AGENTES FINANCEIROS|Registrar as rendas de financiamento a agentes financeiros, que constituam receita efetiva da instituição, no período
71120005|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS A EXPORTACAO|Registrar as rendas de financiamento à produção para exportação, que constituam receita efetiva da instituição, no período.
71123002|1994-02-01|NULL|71100001|RENDAS DE FINANCIAMENTOS DE MOEDAS ESTRANGEIRAS|Registrar as rendas decorrentes de financiamentos em moedas estrangeiras, que constituam receita efetiva da instituição, no período
71125000|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS COM INTERVENIENCIA|Registrar as rendas de operações de financiamento com interveniência, que constituam receita efetiva da instituição, no período.
71135007|1988-06-01|NULL|71100001|RENDAS DE REFINANC DE OPERACOES DE ARRENDAMENTO|Registrar as rendas de refinanciamentos de operações de arrendamento, que constituam receita efetiva da instituição, no período.
71140009|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS RURAIS - APLIC LIVRES|Registrar as rendas de financiamentos rurais, quando representadas por aplicações livres, que constituam receita efetiva da instituição, no período.
71145004|1988-06-01|NULL|71100001|RENDAS DE FINANC RURAIS - APLICACOES OBRIGATORIAS|Registrar as rendas de financiamentos rurais, quando representados por aplicações compulsórias, que constituam receita efetiva da instituição, no período.
71150006|1988-06-01|NULL|71100001|RENDAS DE FINAN RURAIS-APLIC REPASS E REFINANC|Registrar as rendas de financiamentos rurais - aplicações repassadas e refinanciadas, que constituam receita efetiva da instituição, no período.
71152004|2001-04-01|NULL|71100001|RENDAS REFINANCIAMENTOS DE OPER.COM GOV. FEDERAL|Registro das rendas de financiamentos assumidos pela União, nas condições estabelecidas pela Lei nº 8.727, de 5 de novembro de 1993, e regulamentação complementar.
71155001|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS AGROINDUSTRIAIS|Registrar as rendas de financiamentos agroindustriais, que constituam receita efetiva da instituição, no período.
71160003|1988-06-01|NULL|71100001|RENDAS DE FINANCIAM DE EMPREENDIMEN IMOBILIARIOS|Registrar as rendas de financiamentos de empreendimentos imobiliários, que constituam receita efetiva da instituição, no período.
71165008|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS HABITACIONAIS|Registrar as rendas de financiamentos habitacionais, que constituam receita efetiva da instituição, no período.
71170000|1988-06-01|NULL|71100001|RENDAS DE FINANC DE INFRAESTR E DESENVOLV|Registrar as rendas de financiamentos de infraestrutura e desenvolvimento, que constituam receita efetiva da instituição, no período.
71180007|1988-06-01|NULL|71100001|RENDAS DE DIREITOS POR EMPRESTIMOS DE ACOES|Registrar as rendas de direitos por empréstimos de ações, que constituam receita efetiva da instituição, no período.
71185002|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS DE CONTA MARGEM|Registrar as rendas de financiamentos de conta margem, que constituam receita efetiva da instituição, no período
71190004|1988-06-01|NULL|71100001|RENDAS DE FINANCIAMENTOS DO PROCAP|Registrar as rendas de financiamentos do PROCAP, que constituam receita efetiva da instituição, no período.
71192002|1993-07-01|NULL|71100001|RENDAS DE DIREITOS POR EMPRESTIMOS DE OURO|Registrar as rendas com ajustes dos contratos de mútuo de ouro, assim como os rendimentos decorrentes desses contratos, que constituam receita efetiva da instituição, no período.
71200004|1988-06-01|NULL|71000008|RENDAS DE ARRENDAMENTO MERCANTIL|
71210001|1988-06-01|NULL|71200004|RENDAS DE ARRENDAM. FINANC. - RECURSOS INTERNOS|Registrar as rendas de arrendamento mercantil financeiro realizado com recursos internos.
71215006|1998-07-01|NULL|71200004|RENDAS DE ARRENDAM. OPERAC. - RECURSOS INTERNOS|Registrar as rendas de arrendamento mercantil operacional realizado com recursos internos.
71220008|1988-06-01|NULL|71200004|RENDAS DE ARRENDAM. FINANC. - RECURSOS EXTERNOS|Registrar as rendas de arrendamento mercantil financeiro realizado com recursos externos.
71225003|1998-07-01|NULL|71200004|RENDAS DE ARRENDAM. OPERAC. - RECUROS EXTERNOS|Registrar as rendas de arrendamento mercantil operacional realizado com recursos externos.
71230005|1988-06-01|NULL|71200004|RENDAS DE SUBARRENDAMENTOS|Registrar as rendas de operações de subarrendamentos, que constituam receita efetiva da instituição, no período.
71260006|1988-06-01|NULL|71200004|LUCROS NA ALIENACAO DE BENS ARRENDADOS|Registrar os lucros apurados na venda do valor residual de bens arrendados, que constituam receita efetiva da instituição, no período.
71260109|1998-07-01|NULL|71260006|ARRENDAMENTO FINANCEIRO|Registrar os lucros apurados na venda do valor residual de bens arrendados, que constituam receita efetiva da instituição, no período.
71260202|1998-07-01|NULL|71260006|ARRENDAMENTO OPERACIONAL|Registrar os lucros apurados na venda do valor residual de bens arrendados, que constituam receita efetiva da instituição, no período.
71300007|1988-06-01|NULL|71000008|RENDAS DE CAMBIO|
71310004|1988-06-01|NULL|71300007|RENDAS DE OPERACOES DE CAMBIO|Registrar as rendas decorrentes de operações de câmbio (taxas livres), que constituam receita efetiva da instituição, no período. Exemplos de desdobramentos de uso interno que se ajustam à função desta conta: - De ACC - De ACE - De Cobrança sobre o Exterior - De Créditos de Exportação - Bonificações sobre Vendas de Câmbio de Importação - De Cobranças do Exterior - De Créditos de Importação - De Financiamentos a Importação - Comissões sobre Transferências - Bonificações em Operações Interbancárias - De Prorrogação sobre Contratos de Câmbio - Outros.
71310107|1988-06-01|NULL|71310004|EXPORTACAO|Registrar as rendas decorrentes de operações de câmbio (taxas livres), que constituam receita efetiva da instituição, no período. Exemplos de desdobramentos de uso interno que se ajustam à função desta conta: - De ACC - De ACE - De Cobrança sobre o Exterior - De Créditos de Exportação - Bonificações sobre Vendas de Câmbio de Importação - De Cobranças do Exterior - De Créditos de Importação - De Financiamentos a Importação - Comissões sobre Transferências - Bonificações em Operações Interbancárias - De Prorrogação sobre Contratos de Câmbio - Outros.
71310200|1988-06-01|NULL|71310004|IMPORTACAO|Registrar as rendas decorrentes de operações de câmbio (taxas livres), que constituam receita efetiva da instituição, no período. Exemplos de desdobramentos de uso interno que se ajustam à função desta conta: - De ACC - De ACE - De Cobrança sobre o Exterior - De Créditos de Exportação - Bonificações sobre Vendas de Câmbio de Importação - De Cobranças do Exterior - De Créditos de Importação - De Financiamentos a Importação - Comissões sobre Transferências - Bonificações em Operações Interbancárias - De Prorrogação sobre Contratos de Câmbio - Outros.
71310303|1988-06-01|NULL|71310004|FINANCEIRO|Registrar as rendas decorrentes de operações de câmbio (taxas livres), que constituam receita efetiva da instituição, no período. Exemplos de desdobramentos de uso interno que se ajustam à função desta conta: - De ACC - De ACE - De Cobrança sobre o Exterior - De Créditos de Exportação - Bonificações sobre Vendas de Câmbio de Importação - De Cobranças do Exterior - De Créditos de Importação - De Financiamentos a Importação - Comissões sobre Transferências - Bonificações em Operações Interbancárias - De Prorrogação sobre Contratos de Câmbio - Outros.
71310901|1988-06-01|NULL|71310004|OUTRAS|Registrar as rendas decorrentes de operações de câmbio (taxas livres), que constituam receita efetiva da instituição, no período. Exemplos de desdobramentos de uso interno que se ajustam à função desta conta: - De ACC - De ACE - De Cobrança sobre o Exterior - De Créditos de Exportação - Bonificações sobre Vendas de Câmbio de Importação - De Cobranças do Exterior - De Créditos de Importação - De Financiamentos a Importação - Comissões sobre Transferências - Bonificações em Operações Interbancárias - De Prorrogação sobre Contratos de Câmbio - Outros.
71330008|1992-01-01|NULL|71300007|RENDAS DE VARIACOES E DIFERENCAS DE TAXAS|Registrar o valor das variações e diferenças de taxas entre compras e vendas apuradas em operações de câmbio (taxas livres).
71370006|1995-07-01|NULL|71300007|RENDAS DE DISPONIBILIDADES EM MOEDAS ESTRANGEIRAS|Registrar o valor das rendas decorrentes da variação da taxa de câmbio, em conseqüência da manutenção de disponibilidades em moedas estrangeiras.
71400000|1988-06-01|NULL|71000008|RENDAS DE APLICACOES INTERFINANCEIRAS DE LIQUIDEZ|
71410007|1988-06-01|NULL|71400000|RENDAS DE APLICACOES EM OPERACOES COMPROMISSADAS|Registrar as rendas de aplicações em operações compromissadas, que constituam receita efetiva da instituição, no período.
71410100|1988-06-01|NULL|71410007|POSICAO BANCADA|Registrar as rendas de aplicações em operações compromissadas, que constituam receita efetiva da instituição, no período.
71410203|1988-06-01|NULL|71410007|POSICAO FINANCIADA|Registrar as rendas de aplicações em operações compromissadas, que constituam receita efetiva da instituição, no período.
71410409|2004-08-01|NULL|71410007|POSIÇÃO VENDIDA|Registrar as rendas de aplicações em operações compromissadas, que constituam receita efetiva da instituição, no período.
71420004|1988-06-01|NULL|71400000|RENDAS DE APLICACOES EM DEPOSITOS INTERFINANCEIROS|Registrar as rendas de depósitos interfinanceiros, que constituam receita efetiva da instituição, no período.
71440008|1988-06-01|NULL|71400000|RENDAS DE APLICACOES VOLUNTARIAS NO BANCO CENTRAL|Registrar as rendas de aplicações voluntárias no Banco Central, que constituam receita efetiva da instituição, no período.
71500003|1988-06-01|NULL|71000008|RENDAS COM TIT. E VAL. MOB. E INST. FINANC. DERIV.|
