codigo_municipio|codigo_tributacao_municipio|codigo_tributacao_desif|aliquota|inicio_vigencia_cod_trib_municipio|fim_vigencia_cod_trib_municipio
3550308|02658|01.01.01-000|5.00|2009-01-01|NULL
3550308|02666|01.02.01-000|5.00|2009-01-01|NULL
3550308|02682|01.03.01-000|5.00|2009-01-01|NULL
3550308|02798|01.05.01-000|2.00|2009-01-01|NULL
3550308|02879|01.06.01-000|5.00|2009-01-01|NULL
3550308|02917|01.07.01-000|3.00|2009-01-01|NULL
3550308|07765|03.02.01-000|5.00|2009-01-01|NULL
3550308|01805|07.19.01-000|5.00|2009-01-01|NULL
3550308|05762|08.02.01-000|5.00|2009-01-01|NULL
3550308|06076|10.01.01-000|5.00|2009-01-01|NULL
3550308|06076|10.01.02-000|5.00|2009-01-01|NULL
3550308|06076|10.01.03-000|5.00|2009-01-01|NULL
3550308|06084|10.01.04-000|5.00|2009-01-01|NULL
3550308|06130|10.01.05-000|2.00|2009-01-01|NULL
3550308|06084|10.01.06-000|5.00|2009-01-01|NULL
3550308|06092|10.01.07-000|5.00|2009-01-01|NULL
3550308|06092|10.01.08-000|5.00|2009-01-01|NULL
3550308|06092|10.01.09-000|5.00|2009-01-01|NULL
3550308|06050|10.01.10-000|5.00|2009-01-01|NULL
3550308|06050|10.01.11-000|5.00|2009-01-01|NULL
3550308|06050|10.01.12-000|5.00|2009-01-01|NULL
3550308|06157|10.02.01-000|5.00|2009-01-01|NULL
3550308|06157|10.02.02-000|5.00|2009-01-01|NULL
3550308|06157|10.02.03-000|5.00|2009-01-01|NULL
3550308|06157|10.02.04-000|5.00|2009-01-01|NULL
3550308|06157|10.02.05-000|5.00|2009-01-01|NULL
3550308|06157|10.02.06-000|5.00|2009-01-01|NULL
3550308|06157|10.02.07-000|5.00|2009-01-01|NULL
3550308|06157|10.02.08-000|5.00|2009-01-01|NULL
3550308|06157|10.02.09-000|5.00|2009-01-01|NULL
3550308|06190|10.04.01-000|5.00|2009-01-01|NULL
3550308|06190|10.04.02-000|5.00|2009-01-01|NULL
3550308|06190|10.04.03-000|5.00|2009-01-01|NULL
3550308|06238|10.04.04-000|5.00|2009-01-01|NULL
3550308|06238|10.04.05-000|5.00|2009-01-01|NULL
3550308|06238|10.04.06-000|5.00|2009-01-01|NULL
3550308|06297|10.05.01-000|5.00|2009-01-01|NULL
3550308|06297|10.05.02-000|5.00|2009-01-01|NULL
3550308|06297|10.05.03-000|5.00|2009-01-01|NULL
3550308|06297|10.05.04-000|5.00|2009-01-01|NULL
3550308|06297|10.05.05-000|5.00|2009-01-01|NULL
3550308|06297|10.05.06-000|5.00|2009-01-01|NULL
3550308|06270|10.05.07-000|5.00|2009-01-01|NULL
