codigo|grupo_tarifa|descricao_tarifa|periodicidade
0101|Cadastro|Confecção de ficha cadastral|Por Evento
0102|Cadastro|Renovação de ficha cadastral|A cada 180 dias
0103|Cadastro|Consultas a serviços de proteção ao crédito|Por Evento
0201|Cartão Magnético|Comum, para débito, saque e consultas|A cada 1 dias
0202|Cartão Magnético|Débito, saque e garantia de cheque-anuidade do contrato|A cada 1 dias
0203|Cartão Magnético|Débito, saque e garantia de cheque-confecção do cartão|Por Evento
0204|Cartão Magnético|Cartão multiplo-nacional-anuidade do contrato|A cada 30 dias
0205|Cartão Magnético|Cartão multiplo-nacional-confecção do cartão|Por Evento
0206|Cartão Magnético|Cartão multiplo-internacional-anuidade do contrato|A cada 1 dias
0207|Cartão Magnético|Cartão multiplo-internacional-confecção do cartão|Por Evento
0208|Cartão Magnético|Cartão multiplo adicional-nacional-anuidade do contrato|A cada 1 dias
0209|Cartão Magnético|Cartão multiplo adicional-nacional-confecção do cartão|Por Evento
0210|Cartão Magnético|Cartão multiplo adicional-intern.-anuidade do contrato|A cada 1 dias
0211|Cartão Magnético|Cartão multiplo adicional-Intern.-confecção do cartão|Por Evento
0301|Cheque|Talão-10 folhas|Por Evento
0302|Cheque|Talão-20 folhas (segundo talão no mês)|Por Evento
0303|Cheque|Cheque administrativo|Por Evento
0304|Cheque|Cheque avulso|Por Evento
0305|Cheque|Cheque devolvido por insuficiência de fundos|Por Evento
0306|Cheque|Oposição/sustação de pagamento de cheque|Por Evento
0308|Cheque|Inclusão no Cadastro de Cheques sem Fundo|Por Evento
0309|Cheque|Exclusão do Cadastro de Cheques sem Fundo|Por Evento
0310|Cheque|Cobrança de cheque por compensação|Por Evento
0311|Cheque|Cheque TB (Transferência Bancária sem CPMF)|Por Evento
0401|Conta Corrente|Abertura de conta|Por Evento
0402|Conta Corrente|Manutenção de conta ativa|A cada 30 dias
0403|Conta Corrente|Manutenção de conta inativa|A cada 1 dias
0404|Conta Corrente|Adiant. a deposit., incl. excesso limite de ch. especial|Por Evento
0405|Conta Corrente|Concessão de cheque especial/conta garantida|Por Evento
0406|Conta Corrente|Renovação de cheque especial/conta garantida|A cada 30 dias
0407|Conta Corrente|Débito autorizado em conta-corrente|Por Evento
0408|Conta Corrente|Banco domestico-conta principal (com limite de acessos)|A cada 1 dias
0409|Conta Corrente|Banco doméstico-conta secundária (com limite de acessos)|A cada 1 dias
0501|Movimentação de Recursos|Saque em caixa automática externa/banco 24 horas|Por Evento
0502|Movimentação de Recursos|Emissão de DOC C|Por Evento
0503|Movimentação de Recursos|Emissão de DOC D|Por Evento
0504|Movimentação de Recursos|Ordem de Pagamento|Por Evento
0505|Movimentação de Recursos|Depósito em outra agência|Por Evento
